Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_,BlankSub Mean Pooled_
1,168.7952,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,1087.8382,,,,,,,610.5758
4,123.1853,128.0425,133.2901,,,,,,,,,,,,,,,
5,,,,,,,,,,,439.2032,,,,,,,
7,,,,,,2194.6136,2455.5834,2586.1823,,2145.0321,3578.9572,2922.0509,590.4909,2621.0116,2325.825,2884.1582,514.3308,
8,,,,,,,,,,,754.135,,,,,,,
9,,,,,,350.7379,,393.2033,,340.3924,563.0834,469.6159,88.8184,417.3115,384.1843,437.5674,88.7378,
11,,,,,,9460.4932,10087.3412,10845.8659,9938.0945,9784.709,14218.5849,12408.8839,3382.4537,10635.0342,9723.8995,11907.1652,3019.1262,8259.232
12,,,,,,1454.8097,1549.9167,1612.5603,1091.528,,2088.979,1879.995,486.3724,1600.0257,1528.8515,1763.8879,435.4453,
13,,,,,,2935.2914,3289.7738,3332.6032,1563.6251,2826.3798,4113.4014,3662.8186,,3266.239,3139.6287,3581.4079,950.5587,2329.6136
14,,,,,,137.3434,150.0367,151.5519,76.9245,129.1207,177.6517,183.5529,,,126.7493,172.6669,,
15,,,,,,,684.9197,751.0473,,,845.906,765.1766,237.3275,,715.9716,737.1195,212.6639,
19,,,,,,254.1085,262.2001,285.6771,258.5992,,380.1497,346.6473,95.8431,,251.8705,301.6905,,
20,,,,,,485.7046,531.7022,572.3512,269.735,472.0667,704.1869,626.4297,,578.3766,545.5163,597.4918,160.2274,395.4729
21,,,,,,128.7386,149.5309,,85.1888,,201.9422,182.8593,,165.5713,,,,112.061
22,,,,,,3402.3101,3611.8518,3744.4851,3657.4034,3554.2089,4801.4429,4340.3494,,3887.12,3635.0045,4318.4919,,2887.6038
23,,,,,,,,223.586,,,,,,,,,,
24,,,,,,129.474,,,,,,,,,,,,
25,743.7966,,,,,,,,,,,,,,,,,569.7524
27,,,,,,,,,,,,,,,,,,149.6526
28,,,,,,,101.8785,,,,,,,,,,,
5026,,,,,,237.9978,228.072,300.9532,,,348.9895,323.8016,,280.1451,271.6887,301.8269,,
