Feature ID,BlankSub Mean 1000ppb_,BlankSub Mean 100ppb_,BlankSub Mean 10ppb_,BlankSub Mean 250ppb_,BlankSub Mean 500ppb_,BlankSub Mean D1S1_,BlankSub Mean D1S2_,BlankSub Mean D1S3_,BlankSub Mean D1S4_,BlankSub Mean D2S1_,BlankSub Mean D2S2_,BlankSub Mean D2S3_,BlankSub Mean D2S4_,BlankSub Mean D3S1_,BlankSub Mean D3S2_,BlankSub Mean D3S3_,BlankSub Mean D3S4_
1,167.7952,,,,,,,,,,,,,,,,
2,,,,,,,,,,,1086.8382,,,,,,
3,,,479.9657,,,,,,,,,,,,,,
4,122.1853,127.0425,132.2901,,,,,,,,,,,,,,
5,,,,,,,,,,,438.2032,,,,,,
7,,,,,,2193.6136,2454.5834,2585.1823,,2144.0321,3577.9572,2921.0509,589.4909,2620.0116,2324.825,2883.1582,513.3308
9,,,,,,,,,,,562.0834,468.6159,,416.3115,,436.5674,87.7378
11,,377.8147,,407.3003,334.5222,9460.4932,10087.3412,10845.8659,9938.0945,9784.709,14218.5849,12408.8839,3382.4537,10635.0342,9723.8995,11907.1652,
12,,,,,,1453.8097,1548.9167,1611.5603,,,2087.979,1878.995,,1599.0257,,1762.8879,
13,,,,,,2934.2914,3288.7738,3331.6032,,2825.3798,4112.4014,3661.8186,,3265.239,3138.6287,3580.4079,
14,,,,,,136.3434,,,,,,182.5529,,,,171.6669,
15,,,,,,,,,,,844.906,764.1766,,,,736.1195,
17,,,166.5302,,,,,,,,,,,,,,
19,,,,,,,,,257.5992,,379.1497,,,,,300.6905,
20,,,,,,,,571.3512,,471.0667,703.1869,625.4297,,577.3766,544.5163,596.4918,159.2274
21,,,,,,127.7386,,,,,200.9422,,,,,,
22,,,,,,3401.3101,3610.8518,3743.4851,3656.4034,3553.2089,4800.4429,4339.3494,,3886.12,3634.0045,4317.4919,
23,,,,,,,,222.586,,,,,,,,,
25,742.7966,,,,,,,,,,,,,,,,
26,,1075.8712,1478.779,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,
30,,73.4198,85.0881,,55.2801,,,,,,,,34.2835,,,,
31,,,,,,,,,,,273.1799,,,,,,
32,,,,389.4725,,4042.9592,4171.8115,4461.9439,4419.2769,3988.9067,5018.5973,4698.5458,1941.663,4263.7618,3989.4654,4684.4429,1709.9249
33,,,,,,,351.0527,,,,404.226,379.8093,,,,374.67,
34,,116.317,,116.5048,263.636,,,,,,,,,,,,
36,1633.2389,227.3882,,440.9212,886.6279,,,,,,,,,,,,
37,17293.672,1882.3984,,6013.6985,9146.827,,,,,,,,,,,,
40,,,,,,,132.282,122.8769,135.5493,,142.7785,135.8046,,115.0829,,123.9259,
42,,,,,,,,,,,,,,,,,
43,,,446.8198,,,8083.2879,8978.7843,8935.8129,3826.4699,7836.3867,11344.0039,10134.7086,2636.3546,8996.4086,8532.5029,9704.1396,
44,,,,,,1928.1681,2149.5575,2174.1397,,1886.7384,2711.0108,2376.4727,,2143.4854,2037.9849,2290.4751,614.0348
45,,,97.9051,,,1414.1338,1548.1575,1574.8276,,1392.218,1949.8188,1769.2951,,1527.9999,1524.0937,1725.5458,
47,,,,,,,155.6727,,,129.7288,188.732,161.3741,,158.1558,,168.8798,43.1892
52,,,,,,,,313.5792,,,361.3192,328.2385,,,,349.3912,
54,,,,,134.9128,,,,,,,,,,,,
56,,,,,,,,,,,,,,172.962,,,
57,,230.429,,,228.1217,,,,,,,,,,,,
58,,,,,,954.6552,970.5558,1296.881,275.3311,366.6527,603.6987,454.0626,,1373.2821,1479.63,1770.857,213.3589
59,,,,,,,,,,,195.0372,,,316.4828,268.8839,360.1292,
60,338.1515,,,93.5576,206.3195,,,,,,,,,,,,
64,,,214.5804,,,,,,,,,,,,,,
65,,719.8313,1278.5529,718.2265,833.7474,10103.7906,10844.5032,11591.1532,11266.8102,10594.5342,14478.7936,13056.4302,,11514.8132,10684.3979,12809.4062,
68,,,,,,,,,,,,,,,,,
69,,,,,,1192.6941,1231.3893,1319.2356,1256.7759,1199.9799,1637.1887,1438.5456,,1305.2656,1175.4371,1428.4801,486.0002
70,,,,,,,,,,,405.1419,,,,,,
71,,,,,,127.623,144.0994,,,,179.8657,170.4045,,164.2548,152.6146,174.3962,57.8354
72,152.142,,,,65.9728,,,,,,,,,,,,
73,,,,,,,232.8627,102.8976,,,210.737,73.4411,,,319.2182,178.2156,
74,,,,,,,151.2195,106.6981,,,105.324,,,96.1542,147.3443,147.7176,
75,,,,,,67.6906,,,43.523,,,,,,,,
77,,,65.8579,,,292.0018,,321.5138,,289.8736,405.542,359.5503,,,292.9235,351.6266,
78,,,,,,1605.6027,1035.0447,806.3783,33.0951,446.3849,,,173.2587,2155.039,,,
80,,633.2483,734.4772,,,,,,,,,,,,,,
81,861.7631,265.9984,,,690.8528,,,,,,,,,,,,
82,687.0366,,,,,,,,,,,,,,,,
84,,117.7974,123.5275,,95.0557,,,,,,,,,,,,
88,911.618,,,,,,,,,,,,,,,,
90,,,,,,,,,,,190.4555,,,,,,
91,,,,,,140.7202,,137.9499,,,,,,,,,
92,234.0763,,,,127.5815,,,,,,,,,,,,
93,184.8609,,,,,,,,,,,,,,,,
95,,,,,,,,183.9413,,,,,,,,,
97,,,,235.3452,,,,,,,,,645.0663,,,,680.5973
98,,,,,,15355.8667,16827.2593,16794.273,7717.6053,14887.9533,21337.2377,19048.171,4839.9142,17385.0087,16346.1003,19008.802,4209.1763
99,,667.8069,930.8561,,,,,,,,,,,,,,
100,336.8804,,,130.2142,167.4643,,,,,,,,,,,,
102,,,,,,2611.5688,2870.1644,2914.8142,1281.8287,2503.7195,3518.19,3111.2125,,2888.2667,2781.7254,3140.3988,
108,,,,,,,2640.6516,2586.6249,,2256.0738,3333.3204,2936.7624,,2706.4005,2480.0722,2910.6325,
109,146.5855,,,,,,,,,,,,,,,,
111,245.7813,,,,,,,,,,,,,,,,
112,224.3862,,,,149.8063,,,,,,,,,,,,
114,,,,,,,,,,,,153.7754,,,,,
115,,,,,,,,,,463.2315,904.2457,,,,,,
119,,,,63.6317,128.1731,,,,,,,,,,,,
123,952.3961,153.6068,,,545.581,,,,,,,,,,,,
124,316.813,,,,187.7538,,,,,,,,,,,,
125,,,,,,,,,342.6381,,486.1122,,,,,,
126,2360.7688,197.7042,,789.3825,1393.4792,,,,,,,,,,,,
127,698.9219,,,,557.6174,,,,,,,,,,,,
