Feature ID,BlankSub Mean 45_T,BlankSub Mean 46_T,BlankSub Mean 47_T,BlankSub Mean 48_T,BlankSub Mean 49_T,BlankSub Mean 50_T,BlankSub Mean 51_T,BlankSub Mean 52_T,BlankSub Mean 53_T,BlankSub Mean 54_T,BlankSub Mean 55_T,BlankSub Mean 56_T,BlankSub Mean 57_T,BlankSub Mean 58_T,BlankSub Mean 59_T,BlankSub Mean 60_T
670,2386117,,367879.6667,2118378.333,529966,864672,400452.6667,,183869.6667,,,101222.6667,,87984.3333,84553.6667,106909.6667
1536,184749,,79348.3333,199272.6667,79024,153831.3333,33490.3333,37060.6667,16788,,,18649,,,17380.5,
725,2816582.667,2704881.333,1870234,3192636.333,1716827,2436521.667,1168481.333,1307870.667,294652,115415.6667,,221697.3333,190340.6667,266938.6667,,
3464,,,,,,,,,179294.6667,179373.3333,234014,360705,321547,269986,288629,438818.6667
3159,,,,899997.3333,5190093,4920701,4089922.333,2282762.667,180428.3333,177909.6667,233319,361330,322099.6667,269075.6667,287415.3333,439115.6667
3030,2146483,,,1146325,5211883.333,4944473.333,4098127.333,2531058.333,2685518.667,2504941.667,3056140,3151263.667,3056552.667,3293939.333,2560663.333,3661453.333
1371,167680,,,38405.3333,272514.3333,336014.3333,372901.3333,231819.6667,317408.6667,268193,284086.6667,211993.6667,254945.6667,298107.3333,307092.6667,259779.6667
681,5166287.667,,5251388,4697509.667,4854214.667,6162891.333,6221807,4040776.333,5265001.333,4028709.333,4916970.667,3934363.333,4243401.667,5499097.333,5083211.333,3648157.333
3437,439318,,,,,78155,,,,,,,,,,
1344,61291.5,,93847.1667,,,,,,,,,,,,,
2588,1668974.667,,1108915,721844.6667,2083933.667,1698490,1766264,1306956.667,1496032,1068927.333,1208424.667,978558,1015027.667,1157356,978443.3333,1125259.667
2655,2037625.333,,1812317.333,2695590.667,,1988802.333,,,,,,,,,,
2640,504388.6667,,1485150.333,594231,,1309007.333,,596204.6667,966153.3333,1435242.667,1584790,1102260.333,1805787.333,686415,621135.6667,726230.6667
2651,1530802.667,1151111.333,1272818.333,2065517,1017743.333,1435915,803078,515057.3333,,,,,,,,
3110,1055103,1220945.667,,1904133,,551960,329291,806671,419756.5,,,63507,,,60440.6667,
4104,75420,,,,77490.6667,96680.6667,113290.3333,70634,76818.3333,58806.3333,60490.3333,39978.3333,48801.3333,65918.6667,74958.3333,54754
3930,,,,,,,,,100634.6667,39459,,18567.3333,109107,53873.3333,51964,107362
3168,62451.5,,,,1330909.667,310892.3333,823304.3333,428729.6667,283359.6667,111922.3333,218419,51207.6667,289280,154877,132955.5,331605
2595,,,,,,,,434092,,,,461163,451120,445795,,
3603,216577.3333,,91413.3333,102037.6667,232902.6667,228641,129459.6667,84588,130942.3333,119644,67460,75548.3333,,139520,,106433
3861,103475.6667,136552.6667,,48878.6667,208179.6667,202843.6667,210162,126337.6667,141362.3333,120689,122889.6667,129899.6667,115920.6667,144176,130551.6667,124680.6667
3067,1492538,,,436721.6667,2274729,1400515.333,1366644.333,1243421,1754244,1414469,1905166.667,1609424.667,1997714.667,1265445.333,1329477.667,1504037.667
3591,149552.6667,,,60687,210678.3333,171966,170460,127610.6667,174215,134225.3333,155028.6667,141859.6667,161479,138277,162455,135103.3333
921,725452.6667,641995,589616,1267312,636266.6667,617881.6667,508983.3333,563785.6667,578570.6667,480478.3333,815521,598925.3333,1012787.333,515699,409075.3333,359174
4457,59580,,,,68388.3333,58418.6667,53467.6667,70178,62058,40768.3333,26987.3333,29875,45876,30600,27706.6667,43054.6667
906,683140.6667,,461391.3333,299216.6667,974642.6667,1217297,1280941.667,724237.6667,1024352.333,867936.3333,975123,928879.3333,951837.6667,1112956.333,1083426.333,849396.6667
792,841013,,,697018.3333,1569012.667,1870250.667,1397995,1141967,1402996.667,1186858.333,1533712.667,1691521,,1452631.333,1170127,1818713.333
4475,78200,,,,,28566.6667,,,,,,,,,,
657,19426867.58,18254258.92,19660200.92,18860200.92,18960200.92,22060200.92,21926867.58,17460200.92,20393534.25,17793534.25,20326867.58,18360200.92,18660200.92,21260200.92,20526867.58,16093534.25
4034,89692,,61748,,95706.6667,115828,128897,74448.6667,86866.3333,80191.6667,82943.3333,60151.3333,69991.3333,72440.3333,84296.6667,64546.6667
4669,43282.6667,,37541,,55619.6667,59586.3333,68231.3333,49153.6667,48330.6667,44332,43516,35307,43512,39626.6667,46638,37789.6667
3442,237112.3333,,150949,99737.6667,315565.3333,374925.6667,414328.3333,239306,305198,258216,268061,252826.3333,259607.6667,307802.6667,317312.3333,247260.3333
3348,180133.6667,203681.5,172477.3333,152002.3333,173134,161626,15064,34922.5,,,,,,,,
