Feature ID,MS1HitFormula,MS2HitFormula,MS2HitID,MS2HitName,MS2Scans,Ionization Mode,Mass,Retention Time,Selected MRL,MRL (3x),MRL (5x),MRL (10x),Duplicate Feature?,Is Adduct or Loss?,Has Adduct or Loss?,Adduct or Loss Info,Max CV Across Samples,Blank_a,Blank_b,Blank_c,Mean Blank_,Median Blank_,STD Blank_,CV Blank_,Detection Count Blank_,Detection Percentage Blank_,Dose1_a,Dose1_b,Dose1_c,Mean Dose1_,Median Dose1_,STD Dose1_,CV Dose1_,Detection Count Dose1_,Detection Percentage Dose1_,Dose2_a,Dose2_b,Dose2_c,Mean Dose2_,Median Dose2_,STD Dose2_,CV Dose2_,Detection Count Dose2_,Detection Percentage Dose2_,Dose3_a,Dose3_b,Dose3_c,Mean Dose3_,Median Dose3_,STD Dose3_,CV Dose3_,Detection Count Dose3_,Detection Percentage Dose3_,Dose4_a,Dose4_b,Dose4_c,Mean Dose4_,Median Dose4_,STD Dose4_,CV Dose4_,Detection Count Dose4_,Detection Percentage Dose4_,Dose5_a,Dose5_b,Dose5_c,Mean Dose5_,Median Dose5_,STD Dose5_,CV Dose5_,Detection Count Dose5_,Detection Percentage Dose5_,Dose6_a,Dose6_b,Dose6_c,Mean Dose6_,Median Dose6_,STD Dose6_,CV Dose6_,Detection Count Dose6_,Detection Percentage Dose6_,Dose7_a,Dose7_b,Dose7_c,Mean Dose7_,Median Dose7_,STD Dose7_,CV Dose7_,Detection Count Dose7_,Detection Percentage Dose7_,Dose8_a,Dose8_b,Dose8_c,Mean Dose8_,Median Dose8_,STD Dose8_,CV Dose8_,Detection Count Dose8_,Detection Percentage Dose8_,Dose9_a,Dose9_b,Dose9_c,Mean Dose9_,Median Dose9_,STD Dose9_,CV Dose9_,Detection Count Dose9_,Detection Percentage Dose9_,MDL
535,,,,,1,ESI+,149.0951,11.5,1398.9767,1398.9767,1888.2945,3111.589,0,0.0,0.0,,1.0742,,492.0,838.0,665.0,665.0,244.6589,0.3679,2,66.67,1357.0,,592.0,974.5,974.5,540.9367,0.5551,2,66.67,604.0,,,604.0,604.0,,,1,33.33,,,,,,,,0,0.0,460.0,465.0,,462.5,462.5,3.5355,0.0076,2,66.67,1361.0,6618.0,2310.0,3429.6667,2310.0,2801.6517,0.8169,3,100.0,825.0,,,825.0,825.0,,,1,33.33,,671.0,,671.0,671.0,,,1,33.33,,3050.0,22320.0,12685.0,12685.0,13625.9477,1.0742,2,66.67,,1384.0,2424.0,1904.0,1904.0,735.3911,0.3862,2,66.67,1398.9767
635,,,,,2,ESI+,149.0951,13.93,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.1585,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,774.0,618.0,696.0,696.0,110.3087,0.1585,2,66.67,,,,,,,,0,0.0,,,,,,,,0,0.0,,,1090.0,1090.0,1090.0,,,1,33.33,,,25000.0,25000.0,25000.0,,,1,33.33,0.0
644,,,,,3,ESI+,149.0951,14.13,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.2259,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,853.0,618.0,735.5,735.5,166.1701,0.2259,2,66.67,,,,,,,,0,0.0,,,,,,,,0,0.0,,,1090.0,1090.0,1090.0,,,1,33.33,,,10540.0,10540.0,10540.0,,,1,33.33,0.0
713,,,,,2,ESI+,149.0951,17.1,0.0,0.0,0.0,0.0,0,0.0,0.0,,1.1863,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,,,,,,,0,0.0,,9459.0,829.0,5144.0,5144.0,6102.3315,1.1863,2,66.67,,,7387.0,7387.0,7387.0,,,1,33.33,0.0
515,,,,,2,ESI+,150.0903,11.23,87491.01060000001,87491.01060000001,128418.351,230736.702,0,0.0,0.0,,1.0782,,11630.0,40570.0,26100.0,26100.0,20463.6702,0.784,2,66.67,5506.0,,11120.0,8313.0,8313.0,3969.6975,0.4775,2,66.67,9950.0,,,9950.0,9950.0,,,1,33.33,,,,,,,,0,0.0,5435.0,7740.0,3457.0,5544.0,5435.0,2143.5795,0.3866,3,100.0,4169.0,28410.0,6103.0,12894.0,6103.0,13471.9999,1.0448,3,100.0,6120.0,4974.0,,5547.0,5547.0,810.3444,0.1461,2,66.67,,8137.0,1097.0,4617.0,4617.0,4978.0317,1.0782,2,66.67,,8148.0,22300.0,15224.0,15224.0,10006.9752,0.6573,2,66.67,,8375.0,11120.0,9747.5,9747.5,1941.0081,0.1991,2,66.67,87491.01060000001
541,,,,,7,ESI+,150.0903,11.57,9396.4814,9396.4814,12718.469,21023.438,0,0.0,0.0,,1.3643,,3239.0,5588.0,4413.5,4413.5,1660.9938,0.3763,2,66.67,14360.0,,7029.0,10694.5,10694.5,5183.7998,0.4847,2,66.67,42040.0,,755.0,21397.5,21397.5,29192.9035,1.3643,2,66.67,,,1202.0,1202.0,1202.0,,,1,33.33,5208.0,7771.0,3878.0,5619.0,5208.0,1978.7756,0.3522,3,100.0,76830.0,51450.0,6961.0,45080.3333,51450.0,35367.3406,0.7845,3,100.0,19740.0,55170.0,1758.0,25556.0,19740.0,27176.8252,1.0634,3,100.0,,17180.0,4640.0,10910.0,10910.0,8867.119,0.8128,2,66.67,,39570.0,17970.0,28770.0,28770.0,15273.5065,0.5309,2,66.67,,19090.0,12960.0,16025.0,16025.0,4334.5646,0.2705,2,66.67,9396.4814
577,,,,,2,ESI+,150.0903,12.17,19380.1388,19380.1388,26340.898,43742.796,0,0.0,0.0,,1.1308,,11400.0,6478.0,8939.0,8939.0,3480.3796,0.3893,2,66.67,20630.0,,3714.0,12172.0,12172.0,11961.4183,0.9827,2,66.67,5301.0,,25440.0,15370.5,15370.5,14240.4235,0.9265,2,66.67,,,1591.0,1591.0,1591.0,,,1,33.33,8160.0,8898.0,3802.0,6953.3333,8160.0,2753.9676,0.3961,3,100.0,5106.0,63290.0,14480.0,27625.3333,14480.0,31240.1073,1.1308,3,100.0,6628.0,2933.0,457.0,3339.3333,2933.0,3105.5016,0.93,3,100.0,,7610.0,3186.0,5398.0,5398.0,3128.2404,0.5795,2,66.67,,8284.0,22490.0,15387.0,15387.0,10045.1589,0.6528,2,66.67,,9986.0,16570.0,13278.0,13278.0,4655.591,0.3506,2,66.67,19380.1388
588,,,,,2,ESI+,150.0903,12.44,15570.5365,15570.5365,22186.2275,38725.455,0,0.0,0.0,,1.0588,,7986.0,3308.0,5647.0,5647.0,3307.8455,0.5858,2,66.67,16270.0,,8752.0,12511.0,12511.0,5316.0288,0.4249,2,66.67,36620.0,,9496.0,23058.0,23058.0,19179.5643,0.8318,2,66.67,,,710.0,710.0,710.0,,,1,33.33,26120.0,9944.0,3496.0,13186.6667,9944.0,11655.364,0.8839,3,100.0,7841.0,57260.0,12330.0,25810.3333,12330.0,27328.5369,1.0588,3,100.0,6628.0,6136.0,874.0,4546.0,6136.0,3189.546,0.7016,3,100.0,,2898.0,3087.0,2992.5,2992.5,133.6432,0.0447,2,66.67,,68300.0,17420.0,42860.0,42860.0,35977.593,0.8394,2,66.67,,15370.0,40700.0,28035.0,28035.0,17911.0148,0.6389,2,66.67,15570.5365
611,,,,,2,ESI+,150.0903,12.85,7432.6609,7432.6609,7755.1015,8561.203,0,0.0,0.0,,1.4522,,7063.0,6835.0,6949.0,6949.0,161.2203,0.0232,2,66.67,10610.0,,9140.0,9875.0,9875.0,1039.447,0.1053,2,66.67,9607.0,,3972.0,6789.5,6789.5,3984.5467,0.5869,2,66.67,,,555.0,555.0,555.0,,,1,33.33,8040.0,9568.0,1247.0,6285.0,8040.0,4429.422,0.7048,3,100.0,4865.0,11480.0,8454.0,8266.3333,8454.0,3311.4907,0.4006,3,100.0,3839.0,12430.0,,8134.5,8134.5,6074.7544,0.7468,2,66.67,94940.0,7361.0,4131.0,35477.3333,7361.0,51521.4981,1.4522,3,100.0,,8352.0,13150.0,10751.0,10751.0,3392.6983,0.3156,2,66.67,,5505.0,33280.0,19392.5,19392.5,19639.8908,1.0128,2,66.67,7432.6609
665,,,,,2,ESI+,150.0903,14.49,6653.9028,6653.9028,7363.838,9138.676,0,0.0,1.0,661(Na);,1.0276,,5840.0,5338.0,5589.0,5589.0,354.9676,0.0635,2,66.67,7024.0,,4197.0,5610.5,5610.5,1998.9909,0.3563,2,66.67,1924.0,,12150.0,7037.0,7037.0,7230.8739,1.0276,2,66.67,,,,,,,,0,0.0,4741.0,3994.0,2573.0,3769.3333,3994.0,1101.323,0.2922,3,100.0,4738.0,27100.0,8358.0,13398.6667,8358.0,12002.958,0.8958,3,100.0,8040.0,4374.0,,6207.0,6207.0,2592.2535,0.4176,2,66.67,,3112.0,1293.0,2202.5,2202.5,1286.2272,0.584,2,66.67,,15560.0,22570.0,19065.0,19065.0,4956.8185,0.26,2,66.67,,10400.0,13980.0,12190.0,12190.0,2531.4423,0.2077,2,66.67,6653.9028
